account_id,customer_id,account_type,account_balance,account_status,created_date
1,1567,Current,173003.06,Dormant,2023-06-04
2,3761,Current,338743.4,Closed,2021-10-20
3,4885,Credit,495619.77,Active,2017-06-10
4,4378,Savings,96842.18,Dormant,2022-03-08
5,1070,Credit,269754.08,Closed,2016-12-09
6,2283,Savings,384657.01,Active,2016-02-11
7,896,Savings,277994.32,Active,2017-01-04
8,2662,Current,328958.49,Active,2015-10-30
9,4648,Savings,199923.06,Active,2020-03-03
10,2083,Current,363278.25,Active,2016-08-04
11,2228,Savings,121603.61,Dormant,2018-04-04
12,3837,Current,114662.75,Active,2019-08-03
13,2609,Savings,315682.63,Closed,2023-04-11
14,3485,Savings,33994.74,Active,2016-12-13
15,337,Savings,55010.77,Dormant,2019-07-02
16,3700,Credit,289679.98,Closed,2019-05-28
17,3352,Credit,441647.82,Closed,2017-04-27
18,1438,Current,126401.78,Closed,2022-08-15
19,2836,Savings,380297.29,Closed,2017-08-11
20,1869,Credit,230457.34,Active,2020-08-22
21,1064,Credit,11882.17,Active,2025-04-11
22,735,Savings,396692.32,Active,2024-07-21
23,4944,Current,336249.34,Dormant,2018-11-23
24,4627,Savings,100141.06,Dormant,2020-06-05
25,2772,Current,284907.12,Closed,2016-09-21
26,1809,Credit,151854.45,Active,2020-01-06
27,3272,Current,174584.08,Dormant,2017-05-21
28,3628,Credit,69740.73,Dormant,2022-01-20
29,4735,Credit,332019.19,Active,2022-05-30
30,1318,Credit,480152.86,Dormant,2019-12-26
31,1233,Savings,6704.34,Active,2017-10-26
32,1755,Savings,288141.16,Active,2021-01-11
33,1682,Savings,473244.99,Closed,2018-08-04
34,2321,Savings,130576.13,Dormant,2024-04-06
35,4904,Credit,485588.92,Closed,2016-01-20
36,4364,Credit,210027.03,Active,2018-01-12
37,718,Savings,198305.4,Closed,2021-10-08
38,1346,Credit,415180.3,Active,2024-05-15
39,2601,Savings,323108.37,Dormant,2019-08-04
40,4551,Current,232469.18,Active,2021-08-24
41,4763,Credit,123181.93,Dormant,2018-12-13
42,2137,Credit,411397.35,Dormant,2018-06-24
43,369,Credit,210394.51,Closed,2021-05-18
44,4232,Current,361367.7,Closed,2019-04-12
45,737,Savings,194115.84,Closed,2016-12-07
46,2860,Savings,494663.39,Dormant,2019-07-23
47,3730,Current,449451.91,Active,2015-10-29
48,4093,Credit,380729.06,Active,2015-11-20
49,3412,Savings,375088.05,Dormant,2017-07-18
50,624,Credit,416193.97,Dormant,2016-09-09
51,1469,Current,138911.67,Dormant,2019-01-06
52,3418,Current,471572.09,Closed,2022-02-13
53,2726,Credit,444682.85,Active,2021-05-27
54,4134,Credit,126859.92,Active,2020-07-17
55,2061,Credit,239256.81,Active,2021-09-26
56,1784,Credit,110846.03,Dormant,2022-03-28
57,1601,Current,6946.74,Dormant,2019-01-10
58,2955,Savings,94750.02,Active,2020-09-09
59,2632,Current,15897.37,Dormant,2016-08-13
60,2115,Savings,310163.81,Active,2023-05-22
61,3461,Savings,9203.41,Dormant,2020-03-05
62,1267,Credit,362172.74,Dormant,2023-01-20
63,647,Current,440108.84,Active,2016-02-13
64,2095,Credit,200482.95,Closed,2018-07-26
65,1329,Credit,108227.83,Active,2017-04-18
66,4025,Savings,372731.05,Dormant,2020-04-20
67,2373,Current,415125.09,Active,2020-04-19
68,1249,Current,484336.75,Dormant,2017-12-07
69,2306,Current,499282.44,Dormant,2022-06-02
70,410,Credit,408413.93,Active,2018-12-30
71,3836,Savings,274698.96,Closed,2025-05-25
72,4564,Current,339488.48,Closed,2020-10-06
73,4540,Current,57338.66,Closed,2023-12-28
74,3108,Current,69647.53,Dormant,2018-10-13
75,1261,Savings,207435.81,Closed,2022-03-30
76,4977,Credit,249758.96,Active,2019-06-03
77,168,Current,66312.9,Dormant,2025-05-08
78,1457,Current,409456.19,Closed,2020-10-23
79,4231,Current,62812.72,Dormant,2020-04-05
80,1664,Credit,181012.3,Dormant,2022-05-14
81,4215,Savings,365564.05,Active,2023-08-30
82,924,Current,142401.03,Dormant,2025-01-04
83,3505,Current,14333.8,Active,2024-07-02
84,96,Current,304341.58,Closed,2021-07-03
85,3372,Credit,252848.65,Closed,2017-06-11
86,969,Savings,404623.32,Dormant,2016-09-01
87,4206,Credit,4696.42,Active,2025-05-31
88,2182,Credit,406312.68,Closed,2018-07-01
89,2310,Credit,268931.23,Active,2015-12-06
90,4316,Current,464982.47,Closed,2024-12-19
91,4011,Savings,123811.02,Active,2024-12-21
92,2304,Credit,359604.99,Dormant,2022-04-14
93,2929,Savings,17905.12,Closed,2016-08-07
94,2665,Savings,325133.44,Dormant,2018-07-03
95,1290,Credit,122773.66,Closed,2021-02-27
96,1488,Credit,441160.23,Active,2018-01-09
97,3410,Credit,284266.48,Dormant,2021-03-26
98,4370,Current,39666.91,Dormant,2021-08-04
99,47,Credit,168905.51,Closed,2018-12-28
100,4318,Savings,191895.23,Closed,2018-01-01
101,4865,Credit,118312.7,Active,2020-05-01
102,1683,Savings,497557.06,Closed,2020-02-04
103,2913,Current,397229.56,Active,2020-07-10
104,4436,Credit,422487.91,Dormant,2021-05-18
105,1820,Current,156798.49,Closed,2021-09-22
106,4502,Savings,420157.91,Dormant,2016-08-20
107,2078,Current,255193.34,Dormant,2020-04-04
108,4956,Current,364845.81,Active,2021-09-11
109,4556,Savings,96814.08,Dormant,2018-08-24
110,2776,Savings,301342.62,Active,2018-05-07
111,3328,Credit,409409.79,Dormant,2020-09-08
112,63,Current,150785.31,Dormant,2016-10-11
113,192,Savings,183103.28,Dormant,2017-10-25
114,1031,Credit,488480.07,Active,2024-08-16
115,1525,Credit,375303.81,Closed,2018-03-23
116,2915,Current,14446.96,Closed,2019-11-02
117,4050,Savings,158220.55,Closed,2024-02-27
118,3867,Credit,238803.2,Dormant,2017-05-29
119,564,Savings,55715.63,Active,2020-11-30
120,1629,Savings,142474.06,Active,2022-06-24
121,3403,Credit,14039.94,Dormant,2024-09-29
122,2671,Credit,413396.12,Closed,2024-09-10
123,2862,Credit,478160.4,Closed,2024-01-03
124,1335,Credit,100160.76,Active,2022-06-09
125,460,Current,262186.44,Closed,2017-07-02
126,215,Current,342278.45,Active,2025-01-21
127,95,Current,369537.69,Dormant,2016-07-10
128,3931,Current,499338.86,Closed,2019-03-07
129,948,Credit,245303.54,Dormant,2024-06-19
130,1412,Savings,427944.42,Active,2018-04-01
131,801,Savings,48013.58,Closed,2023-08-26
132,2414,Current,377522.7,Closed,2018-11-08
133,313,Current,336180.52,Dormant,2023-12-18
134,976,Credit,81129.62,Dormant,2019-07-24
135,4528,Savings,182321.24,Dormant,2021-03-02
136,3970,Savings,414091.13,Active,2018-12-19
137,220,Savings,318777.9,Closed,2016-12-15
138,4697,Current,194850.1,Dormant,2025-04-06
139,3775,Current,77726.15,Active,2020-03-04
140,4128,Credit,316116.45,Dormant,2018-12-20
141,1665,Current,137721.84,Closed,2022-04-17
142,4244,Savings,496504.41,Closed,2018-03-11
143,585,Credit,174501.66,Active,2023-02-13
144,4664,Savings,291926.74,Closed,2017-09-04
145,4828,Credit,3603.98,Dormant,2024-06-22
146,985,Savings,401217.0,Dormant,2020-03-26
147,50,Savings,426955.08,Active,2024-04-20
148,1062,Current,277811.5,Active,2016-09-19
149,2263,Current,432297.74,Closed,2021-04-18
150,1160,Credit,196674.49,Closed,2021-02-03
151,1073,Savings,206519.34,Active,2018-09-08
152,1075,Credit,57512.87,Active,2023-05-21
153,4136,Savings,337207.2,Dormant,2021-10-14
154,4298,Current,458382.93,Dormant,2024-11-06
155,3425,Savings,410695.01,Dormant,2022-12-10
156,1270,Savings,446280.51,Closed,2023-05-19
157,3981,Credit,87560.08,Dormant,2025-05-10
158,4697,Current,214596.22,Dormant,2020-10-25
159,580,Credit,188976.85,Closed,2019-12-02
160,2470,Savings,229047.36,Dormant,2019-04-09
161,4340,Current,321948.94,Closed,2024-10-09
162,4987,Savings,127596.74,Dormant,2023-10-17
163,1756,Savings,216101.43,Closed,2022-01-15
164,3383,Savings,344077.2,Dormant,2023-11-07
165,3471,Credit,114304.41,Closed,2025-04-10
166,3404,Savings,440638.48,Dormant,2018-10-17
167,2534,Savings,45914.62,Dormant,2016-12-24
168,3207,Credit,301615.65,Dormant,2020-06-22
169,4566,Credit,236178.89,Active,2023-09-26
170,3999,Savings,286155.83,Closed,2021-06-19
171,277,Credit,249908.55,Active,2020-03-29
172,4585,Savings,391579.26,Closed,2023-12-27
