alert_id,transaction_id,alert_type,alert_date,status
1,36,Multiple Withdrawals,2021-03-06 12:48:15,Open
2,45,Multiple Withdrawals,2024-11-17 14:33:28,Open
3,46,Multiple Withdrawals,2023-07-20 21:54:14,Open
4,83,Multiple Withdrawals,2025-01-16 18:10:01,Open
5,86,High Amount,2023-09-09 10:42:29,Open
6,108,High Amount,2021-01-15 11:08:40,Open
7,132,Multiple Withdrawals,2022-12-02 09:48:19,Open
8,162,Suspicious Location,2023-08-28 20:20:35,Open
9,165,High Amount,2021-09-30 20:52:06,Open
10,179,High Amount,2024-12-05 11:08:20,Open
11,200,Multiple Withdrawals,2021-08-20 08:04:29,Open
12,209,Suspicious Location,2021-10-07 06:51:38,Open
13,213,Suspicious Location,2020-10-30 05:35:39,Open
14,223,Multiple Withdrawals,2021-12-08 16:05:53,Open
15,269,Suspicious Location,2023-05-08 07:52:09,Open
16,310,Suspicious Location,2022-08-22 01:04:09,Open
17,364,High Amount,2022-03-16 22:26:42,Open
18,427,High Amount,2021-12-24 08:05:01,Open
19,439,High Amount,2020-10-05 00:08:03,Open
20,475,Multiple Withdrawals,2025-06-04 03:22:40,Open
21,488,Multiple Withdrawals,2024-10-21 03:08:38,Open
22,547,High Amount,2024-05-14 05:41:12,Open
23,551,High Amount,2023-04-23 15:27:39,Open
24,563,Suspicious Location,2024-09-26 10:48:11,Open
25,595,High Amount,2020-11-01 11:21:34,Open
26,665,Suspicious Location,2020-09-04 19:44:14,Open
27,669,Multiple Withdrawals,2022-10-14 06:40:46,Open
28,701,Multiple Withdrawals,2024-07-16 15:09:49,Open
29,746,Multiple Withdrawals,2022-07-26 02:49:51,Open
30,788,Multiple Withdrawals,2022-08-18 08:05:56,Open
31,798,High Amount,2025-04-15 16:18:25,Open
32,829,Multiple Withdrawals,2023-02-24 00:17:15,Open
33,870,Multiple Withdrawals,2022-02-02 19:58:45,Open
34,891,Multiple Withdrawals,2021-03-18 15:53:07,Open
35,904,High Amount,2023-01-24 03:15:08,Open
36,1008,High Amount,2024-06-30 21:01:51,Open
37,1020,Suspicious Location,2022-12-09 21:20:07,Open
38,1095,High Amount,2022-10-19 10:29:07,Open
39,1124,Suspicious Location,2023-10-08 03:11:10,Open
40,1139,Suspicious Location,2025-07-19 08:54:45,Open
41,1161,Suspicious Location,2022-07-04 17:59:33,Open
42,1167,High Amount,2022-09-29 03:20:14,Open
43,1174,Suspicious Location,2024-02-05 05:10:53,Open
44,1179,Multiple Withdrawals,2024-09-30 14:59:56,Open
45,1191,High Amount,2021-04-28 18:33:24,Open
46,1219,Suspicious Location,2023-02-13 10:02:35,Open
47,1258,High Amount,2023-01-06 03:03:42,Open
48,1297,Suspicious Location,2022-08-07 04:40:57,Open
49,1361,Suspicious Location,2021-09-19 18:21:28,Open
50,1368,Suspicious Location,2021-10-27 07:07:28,Open
51,1373,Multiple Withdrawals,2021-12-27 15:23:23,Open
52,1487,Suspicious Location,2022-01-22 21:25:25,Open
53,1513,High Amount,2025-03-12 20:24:57,Open
54,1518,Multiple Withdrawals,2024-06-17 12:05:32,Open
55,1523,Multiple Withdrawals,2025-04-22 05:27:50,Open
56,1531,Suspicious Location,2025-06-03 11:27:32,Open
57,1543,Suspicious Location,2023-04-23 21:26:50,Open
58,1598,Multiple Withdrawals,2023-06-11 14:51:49,Open
59,1606,Suspicious Location,2022-09-21 14:21:26,Open
60,1610,Suspicious Location,2021-10-27 01:53:06,Open
61,1612,High Amount,2020-10-28 08:30:37,Open
62,1651,Multiple Withdrawals,2021-07-01 21:29:53,Open
63,1656,High Amount,2021-07-18 15:55:18,Open
64,1675,High Amount,2021-05-22 17:06:09,Open
