transaction_id,account_id,transaction_type,amount,transaction_date,location,device,is_fraud
1,3725,Withdrawal,34010.98,2022-02-24 15:27:22,Delgadofurt,Web,0
2,1904,Payment,11012.37,2022-07-02 11:12:56,Port Stacy,Mobile,0
3,3566,Deposit,14096.99,2023-09-21 09:24:48,Smithfurt,Mobile,0
4,5531,Withdrawal,87112.42,2022-10-07 12:35:02,East Philipburgh,Mobile,0
5,4981,Deposit,14126.93,2022-11-02 09:52:54,Stevenshaven,Web,0
6,2437,Transfer,52508.54,2023-11-01 22:18:41,North Jeremy,Mobile,0
7,233,Deposit,87542.44,2024-11-14 08:39:25,Conradfort,ATM,0
8,6326,Withdrawal,39854.66,2022-01-30 23:39:19,New Shannonmouth,Mobile,0
9,6341,Payment,98067.59,2024-01-25 19:31:30,Cathymouth,ATM,0
10,468,Payment,33416.18,2020-10-23 14:57:02,Rasmussenfort,Web,0
11,5462,Transfer,13999.24,2023-02-17 09:09:12,Philipshire,Web,0
12,4558,Transfer,94496.63,2023-03-28 06:06:42,Samuelshire,ATM,0
13,2577,Deposit,87301.73,2022-07-18 21:23:55,Evanshaven,ATM,0
14,415,Payment,94063.76,2021-04-20 20:34:55,New Shannon,ATM,0
15,171,Deposit,94414.81,2025-02-03 01:55:17,South Alicia,Web,0
16,1054,Withdrawal,15271.77,2024-11-19 05:31:38,Carrtown,ATM,0
17,2074,Deposit,12114.44,2023-01-07 06:53:48,Port Kevin,Mobile,0
18,5688,Withdrawal,10599.31,2025-06-13 07:34:34,Rodgershaven,ATM,0
19,3890,Payment,69837.42,2022-06-04 02:04:49,New Angela,Web,0
20,6278,Transfer,15733.97,2021-08-29 17:10:21,Lake Oliviaburgh,Web,0
21,4008,Payment,2419.55,2022-06-18 05:27:40,South Carlaview,Web,0
22,6379,Transfer,45904.77,2023-04-06 13:52:55,New Spencer,Web,0
23,2824,Deposit,87728.36,2025-07-22 15:58:26,Lake Kenneth,ATM,0
24,4176,Transfer,6488.85,2021-09-12 08:46:22,North Bradland,ATM,0
25,5234,Payment,37403.1,2023-04-27 16:15:37,Grahamland,Mobile,0
26,4806,Payment,81997.94,2021-06-19 02:38:37,Crystalside,Mobile,0
27,2262,Deposit,44586.94,2022-01-18 10:13:21,Matthewsland,ATM,0
28,5934,Withdrawal,75987.22,2022-06-24 07:37:57,West Sarahton,ATM,0
29,4664,Transfer,25494.42,2025-06-25 04:47:50,Port Samantha,Mobile,0
30,1138,Withdrawal,92806.18,2025-07-05 05:03:09,North Elizabethchester,ATM,0
31,3877,Withdrawal,62554.17,2021-01-06 22:57:27,Cookchester,Web,0
32,5336,Payment,19470.67,2023-02-04 06:56:35,Andrewstad,ATM,0
33,5338,Withdrawal,65743.45,2023-08-16 06:25:52,South Markchester,Web,0
34,2821,Withdrawal,39135.15,2022-12-09 01:54:12,Henryburgh,ATM,0
35,5130,Deposit,59549.23,2024-12-25 15:48:41,Maddoxtown,Mobile,0
36,4176,Deposit,63924.54,2021-03-06 12:48:15,New Kathrynmouth,ATM,1
37,2784,Payment,49972.3,2025-05-21 16:28:34,South Renee,Web,0
38,3087,Deposit,68126.68,2024-04-11 07:46:19,Smithmouth,Mobile,0
39,3974,Transfer,29106.68,2021-04-11 14:56:40,Lake Jonathan,Mobile,0
40,4799,Withdrawal,50019.6,2024-09-04 06:34:38,Juliaport,Web,0
41,1552,Transfer,16545.76,2023-02-26 09:20:32,Lake Jessicastad,Web,0
42,4900,Deposit,66505.87,2023-01-07 08:46:26,Mitchellborough,ATM,0
43,5730,Transfer,71204.5,2023-08-23 12:48:36,New Brandon,ATM,0
44,2680,Withdrawal,85216.94,2024-10-16 22:56:44,Kimborough,Mobile,0
45,4396,Withdrawal,27154.98,2024-11-17 14:33:28,Port Jerryhaven,Web,1
46,4875,Withdrawal,31985.34,2023-07-20 21:54:14,Danhaven,ATM,1
47,51,Payment,97184.1,2023-05-24 19:14:08,Chelseatown,ATM,0
48,4571,Transfer,3704.92,2024-06-16 00:38:21,Caseville,ATM,0
49,5831,Deposit,10610.62,2024-05-19 13:21:35,Houstonshire,ATM,0
50,5795,Deposit,82208.4,2022-02-18 05:55:53,Johnton,Mobile,0
51,4002,Withdrawal,30785.34,2021-01-02 07:36:42,Port Katherineview,ATM,0
52,6057,Payment,15192.86,2022-05-01 07:13:17,East Laurafort,Web,0
53,5290,Deposit,84087.35,2020-10-28 03:57:42,New Kyle,Web,0
54,3250,Withdrawal,7033.44,2023-09-06 06:16:21,Mathewsshire,ATM,0
55,6440,Transfer,80897.94,2024-03-20 06:05:29,Karenmouth,Mobile,0
56,3561,Withdrawal,88746.81,2023-04-26 01:05:52,Lake Jamesside,ATM,0
57,5661,Payment,9211.24,2023-02-10 13:39:06,Kelseyburgh,Mobile,0
58,4053,Withdrawal,59102.53,2023-04-03 23:26:54,Lake Lydiafort,Mobile,0
59,1155,Withdrawal,8790.58,2022-05-17 15:36:53,Robinsonland,ATM,0
60,5568,Payment,93835.18,2024-01-05 23:22:27,Christopherberg,Web,0
61,4207,Deposit,73768.59,2025-08-06 00:22:45,West Janice,Web,0
62,739,Deposit,82361.78,2024-09-04 02:12:04,Ramirezborough,ATM,0
63,2555,Deposit,31408.34,2021-11-27 11:17:01,Levyshire,ATM,0
64,5044,Deposit,44400.73,2020-12-01 14:25:38,North Jamesville,ATM,0
65,6898,Transfer,41473.28,2022-10-31 17:36:20,New Calebchester,Mobile,0
66,311,Payment,38870.2,2024-02-02 06:28:48,Brianberg,Web,0
67,6875,Payment,27317.55,2023-12-05 01:05:29,Stephanieton,Web,0
68,1893,Deposit,71618.22,2024-11-29 08:33:43,North Andres,Mobile,0
69,6527,Deposit,85336.28,2021-05-19 19:05:33,Port Eddietown,Web,0
70,6852,Deposit,66787.56,2020-11-15 03:30:56,Vanessatown,ATM,0
71,4699,Withdrawal,70529.01,2022-04-02 21:43:38,Markview,ATM,0
72,2728,Payment,69914.22,2023-10-16 06:41:30,South Paul,ATM,0
73,471,Deposit,26742.95,2021-10-13 12:38:47,South Bradleyberg,Web,0
74,3298,Transfer,23718.77,2024-03-16 06:03:24,Gonzalezfort,Mobile,0
75,1000,Withdrawal,91197.37,2024-05-18 01:25:32,Robertborough,Mobile,0
76,852,Withdrawal,45214.89,2021-04-23 17:01:23,New Carolside,ATM,0
77,2452,Transfer,20764.51,2021-03-31 02:45:29,New Seanburgh,ATM,0
78,621,Transfer,43664.75,2024-10-24 13:59:31,New Luisburgh,ATM,0
79,3514,Transfer,92667.53,2024-12-26 17:15:05,North Michaelfort,Web,0
80,134,Transfer,71090.74,2020-11-08 16:29:38,Norrisville,Web,0
81,6066,Withdrawal,6614.58,2025-01-13 16:09:17,East Joel,Mobile,0
82,6115,Withdrawal,53214.85,2021-09-16 09:44:26,Kristenmouth,Mobile,0
83,513,Deposit,69322.88,2025-01-16 18:10:01,Barrymouth,Mobile,1
84,2411,Deposit,31474.22,2025-04-06 17:19:27,Lake Shaneport,ATM,0
85,3914,Payment,32787.79,2023-10-12 22:03:08,West William,Mobile,0
86,4964,Transfer,39041.75,2023-09-09 10:42:29,East Ashleyborough,ATM,1
87,1681,Withdrawal,86356.7,2025-07-17 06:07:00,New Barbara,ATM,0
88,3354,Deposit,52441.45,2022-09-24 03:20:21,Lake Sharon,ATM,0
89,3630,Transfer,4697.65,2025-01-19 06:26:02,Lake Debbie,Mobile,0
90,1246,Withdrawal,49074.38,2024-10-19 00:27:22,Novakland,Web,0
91,4981,Payment,17287.08,2025-03-30 19:08:13,Thomasfort,ATM,0
92,1230,Withdrawal,28516.35,2024-12-12 02:01:14,Jasonview,Web,0
93,4056,Withdrawal,3103.43,2023-06-23 19:21:26,Banksview,Mobile,0
94,2664,Transfer,87070.64,2024-10-09 12:28:36,Danielsshire,Mobile,0
95,6701,Deposit,62987.11,2021-06-25 03:56:11,Gregorytown,ATM,0
